Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	No hits counts	No hits percentage
SRR1795049_1_screen	6993	6.99	99958	96458	96.5	1	0.0	68	0.07	3388	3.39
SRR1795049_2_screen	7366	7.37	99958	95554	95.6	0	0.0	63	0.06	4258	4.26
SRR1795050_1_screen	6905	6.91	99952	96399	96.44	0	0.0	74	0.07	3438	3.44
SRR1795050_2_screen	7339	7.35	99952	95398	95.44999999999999	0	0.0	67	0.07	4437	4.44
SRR1795051_1_screen	7080	7.089999999999999	99877	96098	96.22	1	0.0	52	0.05	3665	3.67
SRR1795051_2_screen	7387	7.390000000000001	99877	95154	95.27000000000001	0	0.0	48	0.05	4594	4.6
SRR1795052_1_screen	6881	6.89	99889	96553	96.66000000000001	1	0.0	131	0.13	3166	3.17
SRR1795052_2_screen	7222	7.24	99889	95590	95.7	2	0.0	127	0.13	4115	4.12
SRR1795053_1_screen	6842	6.84	100006	95836	95.83	0	0.0	22	0.02	4110	4.11
SRR1795053_2_screen	6826	6.82	100006	93000	92.99	0	0.0	19	0.02	6940	6.94
SRR1795054_1_screen	7030	7.02	100018	96163	96.14999999999998	0	0.0	19	0.02	3790	3.79
SRR1795054_2_screen	6367	6.37	100018	93153	93.13	0	0.0	17	0.02	6781	6.78
SRR1795055_1_screen	7318	7.319999999999999	100004	96552	96.55000000000001	0	0.0	23	0.02	3380	3.38
SRR1795055_2_screen	7050	7.05	100004	94761	94.76	0	0.0	21	0.02	5170	5.17
SRR1795056_1_screen	7180	7.1899999999999995	99970	96201	96.23	0	0.0	26	0.03	3698	3.7
SRR1795056_2_screen	6912	6.919999999999999	99970	93498	93.52000000000001	0	0.0	21	0.02	6388	6.39
SRR1795057_1_screen	7053	7.05	99925	95660	95.73	0	0.0	26	0.03	4186	4.19
SRR1795057_2_screen	6933	6.9399999999999995	99925	92753	92.82	1	0.0	23	0.02	7094	7.1
SRR1795058_1_screen	7106	7.109999999999999	99919	95400	95.47999999999999	0	0.0	30	0.03	4446	4.45
SRR1795058_2_screen	6944	6.949999999999999	99919	93673	93.75	0	0.0	25	0.03	6165	6.17
SRR1795059_1_screen	7397	7.4	100059	96733	96.67	0	0.0	11	0.01	3271	3.27
SRR1795059_2_screen	7073	7.07	100059	94416	94.35	0	0.0	8	0.01	5593	5.59
SRR1795060_1_screen	7249	7.24	100037	96125	96.09	0	0.0	20	0.02	3841	3.84
SRR1795060_2_screen	6627	6.619999999999999	100037	93154	93.12	0	0.0	16	0.02	6812	6.81
SRR1795061_1_screen	7315	7.32	99924	96114	96.17999999999999	0	0.0	120	0.12	3627	3.63
SRR1795061_2_screen	7750	7.77	99924	94393	94.47	0	0.0	119	0.12	5335	5.34
SRR1795062_1_screen	7195	7.21	99899	96089	96.18999999999998	35	0.03	128	0.13	3596	3.6
SRR1795062_2_screen	7379	7.379999999999999	99899	94669	94.75999999999999	33	0.03	115	0.12	5024	5.03
